start_date,end_date,image,sort_name,district,party,mandate_start,mandate_end,email,phone,facebook,twitter,source,name,given_name,family_name,term,id
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/456.png,González Nancy Susana,Chubut,Alianza Frente para la Victoria,2015-12-10,2021-12-09,nancy.gonzalez@senado.gob.ar,"","",https://twitter.com/nancysgonzalez,http://www.senado.gov.ar/senadores/senador/456,Nancy Susana González,Nancy Susana,González,2017,456
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/457.png,Luenzo Alfredo Héctor,Chubut,Chubut Somos Todos,2015-12-10,2021-12-09,alfredo.luenzo@senado.gob.ar,"",https://www.facebook.com/Senador-Alfredo-Luenzo-127058484332074/,https://twitter.com/SenadorLuenzo,http://www.senado.gov.ar/senadores/senador/457,Alfredo Héctor Luenzo,Alfredo Héctor,Luenzo,2016,457
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/457.png,Luenzo Alfredo Héctor,Chubut,Chubut Somos Todos,2015-12-10,2021-12-09,alfredo.luenzo@senado.gob.ar,"",https://www.facebook.com/Senador-Alfredo-Luenzo-127058484332074/,https://twitter.com/SenadorLuenzo,http://www.senado.gov.ar/senadores/senador/457,Alfredo Héctor Luenzo,Alfredo Héctor,Luenzo,2017,457
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/458.png,Rodríguez Machado Laura Elena,Córdoba,Alianza Cambiemos,2015-12-10,2021-12-09,laura.rodriguezmachado@senado.gob.ar,"","",https://twitter.com/laurmachado,http://www.senado.gov.ar/senadores/senador/458,Laura Elena Rodríguez Machado,Laura Elena,Rodríguez Machado,2016,458
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/458.png,Rodríguez Machado Laura Elena,Córdoba,Alianza Cambiemos,2015-12-10,2021-12-09,laura.rodriguezmachado@senado.gob.ar,"","",https://twitter.com/laurmachado,http://www.senado.gov.ar/senadores/senador/458,Laura Elena Rodríguez Machado,Laura Elena,Rodríguez Machado,2017,458
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/459.png,Martínez Ernesto Félix,Córdoba,Alianza Cambiemos,2015-12-10,2021-12-09,ernesto.martinez@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/459,Ernesto Félix Martínez,Ernesto Félix,Martínez,2016,459
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/459.png,Martínez Ernesto Félix,Córdoba,Alianza Cambiemos,2015-12-10,2021-12-09,ernesto.martinez@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/459,Ernesto Félix Martínez,Ernesto Félix,Martínez,2017,459
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/460.png,Caserio Carlos Alberto,Córdoba,Alianza Unión por Córdoba,2015-12-10,2021-12-09,carlos.caserio@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/460,Carlos Alberto Caserio,Carlos Alberto,Caserio,2016,460
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/460.png,Caserio Carlos Alberto,Córdoba,Alianza Unión por Córdoba,2015-12-10,2021-12-09,carlos.caserio@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/460,Carlos Alberto Caserio,Carlos Alberto,Caserio,2017,460
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/461.png,Espínola Carlos Mauricio,Corrientes,Alianza Frente para la Victoria,2015-12-10,2021-12-09,carlos.espinola@senado.gob.ar,"","",https://twitter.com/espinolacamau,http://www.senado.gov.ar/senadores/senador/461,Carlos Mauricio Espínola,Carlos Mauricio,Espínola,2016,461
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/461.png,Espínola Carlos Mauricio,Corrientes,Alianza Frente para la Victoria,2015-12-10,2021-12-09,carlos.espinola@senado.gob.ar,"","",https://twitter.com/espinolacamau,http://www.senado.gov.ar/senadores/senador/461,Carlos Mauricio Espínola,Carlos Mauricio,Espínola,2017,461
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/462.png,Almirón Ana Claudia,Corrientes,Alianza Frente para la Victoria,2015-12-10,2021-12-09,ana.almiron@senado.gob.ar,"",https://www.facebook.com/anaalmironcorrientes/,https://twitter.com/AnitaAlmiron,http://www.senado.gov.ar/senadores/senador/462,Ana Claudia Almirón,Ana Claudia,Almirón,2016,462
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/462.png,Almirón Ana Claudia,Corrientes,Alianza Frente para la Victoria,2015-12-10,2021-12-09,ana.almiron@senado.gob.ar,"",https://www.facebook.com/anaalmironcorrientes/,https://twitter.com/AnitaAlmiron,http://www.senado.gov.ar/senadores/senador/462,Ana Claudia Almirón,Ana Claudia,Almirón,2017,462
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/463.png,Braillard Poccard Néstor Pedro,Corrientes,Alianza Encuentro Corrientes,2015-12-10,2021-12-09,nestor.braillardpoccard@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/463,Néstor Pedro Braillard Poccard,Néstor Pedro,Braillard Poccard,2016,463
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/463.png,Braillard Poccard Néstor Pedro,Corrientes,Alianza Encuentro Corrientes,2015-12-10,2021-12-09,nestor.braillardpoccard@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/463,Néstor Pedro Braillard Poccard,Néstor Pedro,Braillard Poccard,2017,463
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/464.png,Lovera Daniel Aníbal,La Pampa,Alianza Frente p/ Victoria (Peronismo Pampeano),2015-12-10,2021-12-09,daniel.lovera@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/464,Daniel Aníbal Lovera,Daniel Aníbal,Lovera,2016,464
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/464.png,Lovera Daniel Aníbal,La Pampa,Alianza Frente p/ Victoria (Peronismo Pampeano),2015-12-10,2021-12-09,daniel.lovera@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/464,Daniel Aníbal Lovera,Daniel Aníbal,Lovera,2017,464
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/465.png,Durango Norma Haydée,La Pampa,Alianza Frente p/ Victoria (Peronismo Pampeano),2015-12-10,2021-12-09,norma.durango@senado.gob.ar,"","",https://twitter.com/norma_durango,http://www.senado.gov.ar/senadores/senador/465,Norma Haydée Durango,Norma Haydée,Durango,2016,465
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/465.png,Durango Norma Haydée,La Pampa,Alianza Frente p/ Victoria (Peronismo Pampeano),2015-12-10,2021-12-09,norma.durango@senado.gob.ar,"","",https://twitter.com/norma_durango,http://www.senado.gov.ar/senadores/senador/465,Norma Haydée Durango,Norma Haydée,Durango,2017,465
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/466.png,Cobos Julio César Cleto,Mendoza,Alianza Cambiemos,2015-12-10,2021-12-09,julio.cobos@senado.gob.ar,"",https://www.facebook.com/JulioCesarCobos,https://twitter.com/@juliocobos,http://www.senado.gov.ar/senadores/senador/466,Julio César Cleto Cobos,Julio César Cleto,Cobos,2016,466
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/466.png,Cobos Julio César Cleto,Mendoza,Alianza Cambiemos,2015-12-10,2021-12-09,julio.cobos@senado.gob.ar,"",https://www.facebook.com/JulioCesarCobos,https://twitter.com/@juliocobos,http://www.senado.gov.ar/senadores/senador/466,Julio César Cleto Cobos,Julio César Cleto,Cobos,2017,466
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/467.png,Verasay Pamela Fernanda,Mendoza,Alianza Cambiemos,2015-12-10,2021-12-09,pamela.verasay@senado.gob.ar,"",https://www.facebook.com/PamelaVerasayUCR/,https://twitter.com/PameVerasay,http://www.senado.gov.ar/senadores/senador/467,Pamela Fernanda Verasay,Pamela Fernanda,Verasay,2016,467
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/467.png,Verasay Pamela Fernanda,Mendoza,Alianza Cambiemos,2015-12-10,2021-12-09,pamela.verasay@senado.gob.ar,"",https://www.facebook.com/PamelaVerasayUCR/,https://twitter.com/PameVerasay,http://www.senado.gov.ar/senadores/senador/467,Pamela Fernanda Verasay,Pamela Fernanda,Verasay,2017,467
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/468.png,Fernández Sagasti Anabel,Mendoza,Alianza Frente para la Victoria,2015-12-10,2021-12-09,anabel.fernandezsagasti@senado.gob.ar,"","",https://twitter.com/afernandezk,http://www.senado.gov.ar/senadores/senador/468,Anabel Fernández Sagasti,Anabel,Fernández Sagasti,2016,468
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/468.png,Fernández Sagasti Anabel,Mendoza,Alianza Frente para la Victoria,2015-12-10,2021-12-09,anabel.fernandezsagasti@senado.gob.ar,"","",https://twitter.com/afernandezk,http://www.senado.gov.ar/senadores/senador/468,Anabel Fernández Sagasti,Anabel,Fernández Sagasti,2017,468
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/469.png,Perotti Omar Ángel,Santa Fe,Alianza Frente para la Victoria,2015-12-10,2021-12-09,omar.perotti@senado.gob.ar,"",https://www.facebook.com/omarperotti,https://twitter.com/omarperotti,http://www.senado.gov.ar/senadores/senador/469,Omar Ángel Perotti,Omar Ángel,Perotti,2016,469
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/469.png,Perotti Omar Ángel,Santa Fe,Alianza Frente para la Victoria,2015-12-10,2021-12-09,omar.perotti@senado.gob.ar,"",https://www.facebook.com/omarperotti,https://twitter.com/omarperotti,http://www.senado.gov.ar/senadores/senador/469,Omar Ángel Perotti,Omar Ángel,Perotti,2017,469
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/470.png,Sacnun María de los Ángeles,Santa Fe,Alianza Frente para la Victoria,2015-12-10,2021-12-09,maria.sacnun@senado.gob.ar,"","",https://twitter.com/sacnun,http://www.senado.gov.ar/senadores/senador/470,María de los Ángeles Sacnun,María de los Ángeles,Sacnun,2016,470
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/470.png,Sacnun María de los Ángeles,Santa Fe,Alianza Frente para la Victoria,2015-12-10,2021-12-09,maria.sacnun@senado.gob.ar,"","",https://twitter.com/sacnun,http://www.senado.gov.ar/senadores/senador/470,María de los Ángeles Sacnun,María de los Ángeles,Sacnun,2017,470
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/471.png,Mirkin Beatriz Graciela,Tucumán,Alianza Frente para la Victoria,2015-12-10,2021-12-09,beatriz.mirkin@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/471,Beatriz Graciela Mirkin,Beatriz Graciela,Mirkin,2016,471
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/471.png,Mirkin Beatriz Graciela,Tucumán,Alianza Frente para la Victoria,2015-12-10,2021-12-09,beatriz.mirkin@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/471,Beatriz Graciela Mirkin,Beatriz Graciela,Mirkin,2017,471
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/472.png,Pinedo Federico,Ciudad Autónoma de Buenos Aires,Alianza Unión Pro,2015-12-10,2019-12-09,federico.pinedo@senado.gob.ar,"",https://www.facebook.com/federicopinedo,https://twitter.com/PinedoFederico,http://www.senado.gov.ar/senadores/senador/472,Federico Pinedo,Federico,Pinedo,2016,472
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/472.png,Pinedo Federico,Ciudad Autónoma de Buenos Aires,Alianza Unión Pro,2015-12-10,2019-12-09,federico.pinedo@senado.gob.ar,"",https://www.facebook.com/federicopinedo,https://twitter.com/PinedoFederico,http://www.senado.gov.ar/senadores/senador/472,Federico Pinedo,Federico,Pinedo,2017,472
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/473.png,Giacoppo Silvia del Rosario,Jujuy,Unión Cívica Radical,2015-12-10,2017-12-09,silvia.giacoppo@senado.gob.ar,"",https://www.facebook.com/SilviaGiacoppoUCR,https://twitter.com/giacopposilvia,http://www.senado.gov.ar/senadores/senador/473,Silvia del Rosario Giacoppo,Silvia del Rosario,Giacoppo,2016,473
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/473.png,Giacoppo Silvia del Rosario,Jujuy,Unión Cívica Radical,2015-12-10,2017-12-09,silvia.giacoppo@senado.gob.ar,"",https://www.facebook.com/SilviaGiacoppoUCR,https://twitter.com/giacopposilvia,http://www.senado.gov.ar/senadores/senador/473,Silvia del Rosario Giacoppo,Silvia del Rosario,Giacoppo,2017,473
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/474.png,García Virginia María,Santa Cruz,Alianza Frente para la Victoria,2015-12-10,2017-12-09,virginia.garcia@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/474,Virginia María García,Virginia María,García,2016,474
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/474.png,García Virginia María,Santa Cruz,Alianza Frente para la Victoria,2015-12-10,2017-12-09,virginia.garcia@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/474,Virginia María García,Virginia María,García,2017,474
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/475.png,Ojeda José Anatolio,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza Frente para la Victoria,2015-12-10,2019-12-09,jose.ojeda@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/475,José Anatolio Ojeda,José Anatolio,Ojeda,2016,475
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/475.png,Ojeda José Anatolio,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza Frente para la Victoria,2015-12-10,2019-12-09,jose.ojeda@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/475,José Anatolio Ojeda,José Anatolio,Ojeda,2017,475
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/476.png,Varela Marta,Ciudad Autónoma de Buenos Aires,Alianza Unión Pro,2016-02-11,2019-12-09,marta.varela@senado.gob.ar,"",https://www.facebook.com/MartaVarela15/,https://twitter.com/MLVarela,http://www.senado.gov.ar/senadores/senador/476,Marta Varela,Marta,Varela,2016,476
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/476.png,Varela Marta,Ciudad Autónoma de Buenos Aires,Alianza Unión Pro,2016-02-11,2019-12-09,marta.varela@senado.gob.ar,"",https://www.facebook.com/MartaVarela15/,https://twitter.com/MLVarela,http://www.senado.gov.ar/senadores/senador/476,Marta Varela,Marta,Varela,2017,476
2017-04-25,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/477.png,González María Teresa Margarita,Formosa,Alianza Frente para la Victoria,2017-04-25,2017-12-09,maria.gonzalez@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/477,María Teresa Margarita González,María Teresa Margarita,González,2017,477
