id,name__ar,name__de,name__ce,name__fr,name__en,name__nl,name,wikipedia__ar,wikipedia__ce,wikipedia__de,gender,occupation,identifier__VIAF,identifier__BNF,identifier__SUDOC,birth_date,death_date,original_wikiname,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__es,name__zh,name__nb,name__nn,name__cy,name__hu,name__eu,name__ja,wikipedia__en,wikipedia__pt,wikipedia__zh,identifier__freebase,given_name,name__fa,name__he,wikipedia__fa,image,name__ca,name__tr,name__it,name__zh_cn,wikipedia__ca,wikipedia__es,wikipedia__fr,wikipedia__it,wikipedia__nl,wikipedia__tr,name__hy,wikipedia__hy,wikipedia__hywikisource,identifier__ISNI,name__ka,wikipedia__ka,identifier__google_knowledge,name__ru,name__id,name__pl,wikipedia__id,wikipedia__pl,wikipedia__ru,name__ko,name__yo,name__ms,name__fi,name__gl,name__el,name__bg,name__sv,wikipedia__bg,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__ko,wikipedia__ms,wikipedia__sv,wikipedia__yo,name__lb,name__jv,name__qu,name__gd,name__bs,name__ta,name__et,name__sq,name__bcl,name__pnb,name__eo,name__is,name__yi,name__new,name__sr,name__uk,name__be_tarask,name__io,name__hr,name__az,name__da,name__kk,name__arz,name__be,name__lv,name__ml,name__vi,name__yue,name__sh,name__sa,name__hi,name__sk,name__ku,name__ro,name__th,name__la,name__sl,name__cs,name__mr,name__ur,name__war,name__ga,name__mg,name__ckb,name__li,name__uz,name__pa,name__bn,name__sco,name__si,name__ky,name__lrc,name__br,name__sw,wikipedia__arwikiquote,wikipedia__arwikisource,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fawikiquote,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__io,wikipedia__is,wikipedia__itwikiquote,wikipedia__ja,wikipedia__jv,wikipedia__kk,wikipedia__ku,wikipedia__ky,wikipedia__la,wikipedia__lb,wikipedia__liwikiquote,wikipedia__lrc,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__new,wikipedia__nn,wikipedia__no,wikipedia__pa,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__si,wikipedia__sk,wikipedia__sl,wikipedia__sq,wikipedia__sr,wikipedia__srwikinews,wikipedia__sw,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__zh_yue,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__NDL,identifier__NLA,identifier__MusicBrainz,identifier__OLID,identifier__NKC,website,identifier__SELIBR,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__AlloCine,identifier__Munzinger,identifier__EGAXA,identifier__NLAtrove,identifier__N6I,identifier__discogs,identifier__FAST,identifier__kinopoisk,identifier__wikitree,identifier__nobel_prize,identifier__quora,identifier__snac,name__mzn,name__pt_br,wikipedia__mzn,identifier__GNC,name__zh_sg,name__zh_tw,identifier__bigenc_ru,identifier__persee,identifier__Britannica,wikipedia__af,name__af,wikipedia__fo,wikipedia__ast,name__ast,name__fo,wikipedia__cy,name__aeb_arab,identifier__CONOR,wikipedia__an,wikipedia__lfn,name__lfn,name__an,wikipedia__tl,identifier__GTAA,name__tl,wikipedia__wuu,wikipedia__ne,name__wuu,name__ne,wikipedia__nov,name__nov
Q5270095,دياب الماشي,,,Diab al-Mashi,Diab al-Mashi,Diab al-Mashi,دياب الماشي,دياب الماشي,,,male,politician,,,,1915,2009-08-11,Diab al-Mashi,,,,,,,,,,,,,Diab al-Mashi,,,,,,,,,,,Diab al-Mashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,دياب الماشي,,,,,,,,,,,,,,
Q5438830,,,,,Fawzi al-Ghazzi,Fawzi al-Ghazzi,Fawzi al-Ghazzi,,,,male,,,,,1891,1929,Fawzi al-Ghazzi,,,,,Fawzi al-Ghazzi,,,,,,,,Fawzi al-Ghazzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59930,هاشم الأتاسي,Haschim Chalid al-Atassi,,Hachem al-Atassi,Hashim al-Atassi,Hashim al-Atassi,هاشم الأتاسي,هاشم الأتاسي,,Haschim Chalid al-Atassi,male,politician,24038981,167112722,175899878,1875,1960-12-05,Hashim al-Atassi,,,,,Hashim al-Atassi,哈希姆·阿塔西,Hāšim al-Atāssī,,,Hashim al-Atassi,,ハーシム・アル＝アタースィー,Hashim al-Atassi,,哈希姆·阿塔西,/m/03qtrd,Hashim,هاشم الاتاسی,האשם אל-אתאסי,هاشم الاتاسی,https://upload.wikimedia.org/wikipedia/commons/0/0d/Hashim_Al_Atassi.jpg,Hashim al-Atassi,Haşim el Atasi,Hachem el-Atassi,,Hashim al-Atassi,,Hachem al-Atassi,Hashim el-Atassi,,Haşim el-Attasi,,,,0000 0001 0676 6101,ჰაშიმ ალ-ათასი,ჰაშიმ ალ-ათასი,,Хашим Бей Халид Аль-Атасси,Hashim al-Atassi,Haszim al-Atassi,Hashim al-Atassi,Haszim al-Atasi,"Аль-Атаси, Хашим",,,,,,,,,,,,,האשם אל-אתאסי,,,,,,,,,,,,,,,,,,,,,,,Hashim al-Atassi,,,,,,,,ഹാഷിം അൽ അത്താസി,,,,,,,,,,Haschim Chalid al-Atassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Hashim al-Atassi,,,,,,,,,,,,,Hashim al-Atassi,,Hashim el-Atassi,,,,,,Haschim Chalid al-Atassi,,,,,,ഹാഷിം അൽ അത്താസി,,,,Hāšim al-Atāssī,,,,,,,,,,,,,,,,,,,,,,,,,,,,142687944,n2006202553,,,,,,,,,,,,,,,,,,1638392,,,,,,,,,,,,1837080,,biography/Hashim-al-Atasi,,,,,,,,هاشم الأتاسي,,,,,,,,,,,,,,
Q60216,محمد علي العابد,Mohamed Ali al-Abed,,Mohamed Ali Bey al-Abed,Muhammad Ali Al-Abed,Mohamed Ali Bey al-Abed,محمد علي العابد,محمد علي العابد,,Muhammad Ali al-Abid,male,diplomat,,,,1867,1939,محمد علي العابد,,,,,Muhammad Ali al-Abid,,,,,Muhammad Ali al-Abid,,,Mohammed Ali Bey al-Abed,,,/m/0ggg3f,Muhammed,محمد علی بک العابد,,محمدعلی عابد,https://upload.wikimedia.org/wikipedia/commons/3/34/Muhammad_Ali_al-Abid.jpg,Muhammad Ali al-Abid,Muhammet Ali el-Abid,Muhammed Ali el-Abid,,Muhammad Ali al-Abid,,Mohamed Ali Bey al-Abed,,Mohamed Ali Bey al-Abed,Muhammed Ali el-Abid,,,,,მუჰამად ალი ალ-აბიდი,მუჰამად ალი ალ-აბიდი,,"Аль-Абид, Мухамммед Али Бей",,,,,"Аль-Абид, Мухамммед Али Бей",,,,,,Μουχάμαντ Αλί αλ-Αμπίντ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Ali Bey al-Abed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محمد علي العابد,,,,,,,,,,,,,,
Q671162,فارس الخوري,Faris al-Churi,,Farès al-Khoury,Faris al-Khoury,Fares al-Khoury,فارس الخوري,فارس الخوري,,Faris al-Churi,male,diplomat,291584532,,,1877-11-20,1962-01-02,Fares al-Khoury,Faris al-Khoury,,,,Faris al-Khoury,,,,,,,,Fares al-Khoury,Faris al-Khoury,,/m/02890ms,Faris,فارس الخوری,,فارس الخوری,https://upload.wikimedia.org/wikipedia/commons/d/d4/Faris_al-Khoury.jpg,,,,,,,Farès al-Khoury,,Fares al-Khoury,,,,,0000 0003 9659 0609,,,,Фарис аль-Хури,,Faris al-Churi,,Faris al-Churi,Фарис аль-Хури,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Fares al-Khoury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124722245,n89114572,,,,,,,,,,24219057X,,,,,,,,1828644,,الخوري-1,,,,,,,,,,,,,,,,,,,,فارس الخوري,,,,,,,,,,,,,,
Q6751904,منصور الأطرش,,,Mansur al-Atrash,Mansur al-Atrash,Mansur al-Atrash,منصور الأطرش,منصور الأطرش,,,male,politician,31530547,,,1925-02-03,2006-11-14,Mansur al-Atrash,,,,,Mansur al-Atrash,,,,,,,,Mansur al-Atrash,,,,,,מנסור אל-אטרש,,https://upload.wikimedia.org/wikipedia/commons/4/45/MansourAtrash.jpg,,,,,,,,,,,,,,0000 0001 1963 6170,,,,,Mansur al-Atrash,Mansur al-Atrasz,Mansur al-Atrash,Mansur al-Atrasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mansur Al-Atrash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6892259,,,,Mohammad Nidal al-Shaar,Mohammad Nidal al-Shaar,,Mohammad Nidal al-Shaar,,,,male,,,,,1956,,Mohammad Nidal al-Shaar,,,,,Mohammad Nidal al-Shaar,,,,,,,,Mohammad Nidal al-Shaar,,,,Mohammad,,,,,,,Mohammad Nidal al-Shaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6936668,منير العجلاني,,,,Munir al-Ajlani,Munir al-Ajlani,منير العجلاني,منير العجلاني,,,male,politician,305212905,,,1912-08,2004,منير العجلاني,,,,,Munir al-Ajlani,,,,,Munir al-Ajlani,,,Munir al-Ajlani,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Picture_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Munir al-Ajlani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,منير العجلاني,,,,,,,,,,,,,,
Q6966717,ناصر الحريري,,,,Naser al-Hariri,Naser al-Hariri,ناصر الحريري,ناصر الحريري,,,male,politician,,,,1955,,Naser al-Hariri,,,,,,,,,,,,,Naser al-Hariri,,,,Naser,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/436x328_35500_248450.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ناصر الحريري,,,,,,,,,,,,,,
Q7398853,صفوان القدسي,,,,Safwan al-Qudsi,,صفوان القدسي,صفوان القدسي,,,male,politician,39790595,,,1940,,Safwan al-Qudsi,,,,,,,,,,,,,Safwan al-Qudsi,,,,,,,,,,,,,,,,,,,,,,0000 0000 0759 2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q888030,مأمون الكزبري,Maamun al-Kuzbari,,Maamoun al-Kouzbari,Maamun al-Kuzbari,Maamun al-Kuzbari,مأمون الكزبري,مأمون الكزبري,,Maamun al-Kuzbari,male,diplomat,8756638,,,1914,1998,Maamun al-Kuzbari,Maamun al-Kuzbari,,馬蒙·庫茲巴里,,Maamun al-Kuzbari,,,,,,,マームン・アル＝クズバリ,Maamun al-Kuzbari,Maamun al-Kuzbari,,/m/0b36w_,,مأمون الکزبری,,مأمون الکزبری,https://upload.wikimedia.org/wikipedia/commons/a/a0/Maamoun_Kuzbari.jpg,Maamun al-Kuzbari,Me'mun el Kuzbari,,马蒙·库兹巴里,Maamun al-Kuzbari,,Maamoun al-Kouzbari,,,Me'mun el-Kuzbari,,,,0000 0000 2607 7971,,,,Маамун Кузбари,,,,,"Кузбари, Маамун",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n83044928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مأمون الكزبري,,,,,,,,,,,,,,
Q968674,خالد بكداش,Chalid Bakdasch,,Khalid Bakdash,Khalid Bakdash,Khalid Bakdash,خالد بكداش,خالد بكداش,,Chalid Bakdasch,male,politician,76176774,,,1912-11-15,1995-07-15,Khalid Bakdash,,巴格达什,巴格達什,巴格達什,Khalid Bakdash,哈立德·巴格达什,,,,Khalid Bakdash,,ハリド・バクダシュ,Khalid Bakdash,,哈立德·巴格达什,/m/06vln_,Khalid,خالد بکداش,,خالد بکداش,https://upload.wikimedia.org/wikipedia/commons/b/bf/Khalid_Bakdash.gif,,Halid Bekdaş,Khalid Bakdash,,,Khalid Bakdash,,Khalid Bakdash,,,Խալեդ Բագդաշ,Խալեդ Բագդաշ,,0000 0000 6689 0887,,,,Халед Багдаш,Khalid Bakdash,Chalid Bakdasz,Khalid Bakdash,Chalid Bakdasz,"Багдаш, Халед",,,,,,,Халед Багдаш,,Халед Багдаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Халед Багдаш,,,,,,,,,,,,Khaled Bagdash,,,,Chálid Bakdáš,,,,,,خالید بەکداش,,,,Khalid Bakdash,,,,,,,,,,,,,,খালিদ বকদশ,,,خالید بەکداش,,,,,,,,,,,,,,,,,,,Халед Багдаш,,,,,,,,,,,,,,,,,,,Khaled Bagdash,,,,,Khalid Bakdash,,,,,,,,,,,,,,,,,,nr92005702,,,,,,,,,,,,,,,,,,299780,,,,,,خالد بکدش,,خالد بکدش,0006676,,,,,biography/Khalid-Bakdash,,,,,,,,خالد بكداش,,,,,,,,,,,,,,
Q970115,معروف الدواليبي,Maarouf al-Dawalibi,,Maarouf al-Dawalibi,Maarouf al-Dawalibi,Maarouf al-Dawalibi,معروف الدواليبي,معروف الدواليبي,,Maarouf al-Dawalibi,male,politician,97762500,130760652,050149032,1909-03-29,2004-01-15,Maarouf al-Dawalibi,,,,,Maarouf al-Dawalibi,,,,Maarouf al-Dawalibi,Maarouf al-Dawalibi,,,Maarouf al-Dawalibi,,,/m/05c3rsk,,معروف الدوالیبی,מערוף א-דואליבי,معروف الدوالیبی,,,,,,,,,,,,,,,0000 0000 8168 8759,,,,Мааруф ад-Давалиби,Ma'ruf Dawalibi,,Ma'ruf Dawalibi,,Мааруф ад-Давалиби,,,,,,,,,,,,,מערוף א-דואליבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n81092484,,,,,,,,,XX960558,238188981,,,,,,,,77738,,,,,,,,,,,,,68305,,,,,,,,,معروف الدواليبي,,,,,,,,,,,,,,
Q984486,صباح فخري,Sabah Fakhri,,Sabah Fakhri,Sabah Fakhri,Sabah Fakhri,صباح فخري,صباح فخري,,Sabah Fakhri,male,singer,,,,1933-05-02,,Sabah Fakhri,Sabah Fakhri,,薩巴赫·法科里,,Sabah Fakhri,,,,,Sabah Fakhri,,,Sabah Fakhri,Sabah Fakhri,,/m/03f7xq5,,صباح فخری,סבאח פחרי,صباح فخری,https://upload.wikimedia.org/wikipedia/commons/1/15/Sabah_fakhri2.jpg,,Sabah Fahri,,萨巴赫·法科里,,Sabah Fakhri,Sabah Fakhri,,,Sabah Fahri,,,,,,,,,,,,,,,,,,,,,,,,,,סבאח פחרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,صباح فخرى,,,,,,,,,,,Sabah Fakhri,,,,Sabáh Fachrí,,,,,,,,,,,,,,,,,,,صباح فخرى,,,,,,,,,,Sabáh Fachrí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah Fakhri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sabahfakhri.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,صباح فخري,,,,,,,,,,,,,,
