id,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__ky,name__eu,name__pl,name__be,name__fr,name__ko,name__uz,name__es,name__ta,name__yo,name__ms,name__lv,name__it,name__et,name__de,name__id,name__ja,name__el,name__vi,name__sh,name__sv,name__ar,name__nl,name__pt,name__eo,name__ru,name__en,name__sr_el,name__sr_ec,name__tr,name__ca,name__fi,name__uk,name__be_tarask,name__cy,name__nn,name__cs,name__bg,name__fa,name__ka,name__az,name__tl,name__da,name__kk_arab,name__kk_cyrl,name__kk_latn,name__kk,name__sr,name__zh,name__hr,name__nb,name__qu,name__tg,name__sco,name,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ky,wikipedia__lb,wikipedia__lv,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tg,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,birth_date,identifier__freebase,name__nan,name__he,name__hu,name__br,name__tg_latn,name__cv,wikipedia__br,wikipedia__cv,wikipedia__enwikiquote,wikipedia__he,wikipedia__hu,wikipedia__simple,wikipedia__zh_min_nan,given_name,death_date,name__hy,name__la,wikipedia__hy,wikipedia__la,identifier__ISNI,identifier__LCAuth,wikipedia__pa,original_wikiname,name__pa,last_seen,wikipedia__xmf,name__xmf,wikipedia__mg,name__mg,name__kana,identifier__GTAA,identifier__bigenc_ru,occupation,wikipedia__fawikiquote,wikipedia__tt,name__tt,identifier__quora,wikipedia__eswikinews,identifier__Britannica,identifier__ne_se,identifier__NNDB,name__ur,wikipedia__ur,name__zh_cn,identifier__GND,wikipedia__ast,name__en_ca,name__en_gb,name__mk,wikipedia__hi,name__ast,name__hi,wikipedia__oc,website,name__oc,family_name,name__pt_br,name__kk_kz,name__de_ch,name__bar,wikipedia__ruwikinews,identifier__FAST,identifier__Munzinger,name__gl,identifier__NKC,facebook,twitter,name__th,identifier__PACE
Q4279779,,,,,"Мамакеев, Мамбет Мамакеевич",,,,,,,,,,,,,,,,,,,,,,,,,Мамбет Мамакеевич Мамакеев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мамакеев, Мамбет Мамакеевич",,,,,,,,,,"Мамакеев, Мамбет Мамакеевич",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Мамакеев_М.М..jpg,male,,1927-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4279784,,,,,Мамасаидов Мухамаджан Ташалиевич,,,,,,,,,,,,,,,,,,,,,,,,,"Мамасаидов, Махаммаджан Ташалиевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мамасаидов, Махаммаджан Ташалиевич",,,,,,,,,,,,,,,male,,1949-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42907454,,,,,,,,,,,,Marat Amankulov,,,,,,,,,,,,,,,Marat Amankulov,,,,Marat Amankulov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marat Amankulov,,,,,,,,,,,,,Marat Amankulov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,1970-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Marat Amankulov,,,,,,,,,,,,,,,,,,
Q4321759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ниязалиева, Дамира Абаскановна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ниязалиева, Дамира Абаскановна",,,,,,,,,,,,,,,female,,1960-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4334760,,,,,"Өмүркулов, Иса Шейшенкулович",,Isa Ömürkułow,,,,,Isa Omurkulov,,,,,,,,,,,,,,,,,,Иса Шейшенкулович Омуркулов,Isa Omurkulov,,,,Issà Omurkúlov,,,,,,,,,,,,,,,,,,,,,,,,Isa Omurkulov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Иса Өмүркулов,,,,,,,Isa Ömürkułow,,,"Омуркулов, Иса Шейшенкулович",,,,,,,,,,,,,,,male,,1957-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43426199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Осмонов, Бекмамат",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Осмонов, Бекмамат",,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4406248,,,,,"Салянова, Аида Жеңишбековна",,,,,,,Aida Salyanova,,,,,,,,,,,,,,,,,,"Салянова, Аида Женишбековна",Aida Salyanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aida Salyanova,,,,,,,,,,,,,Aida Salyanova,,,,,,,,,,,,,,,Аида Салянова,,,,,,,,,,"Салянова, Аида Женишбековна",,,,,,,,,,,,,,,female,,1972-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4519093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Шабатоев, Руслан Алымкулович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Шабатоев, Руслан Алымкулович",,,,,,,,,,,,,,,male,,1974-04-06,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4523177,,,,,,,,,,,,,,,,,,,,,ボロトベク・シェルニヤゾフ,,,,,,,,,"Шерниязов, Болотбек Эсентаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ボロトベク・シェルニヤゾフ,,,,,,,,,,,,,,"Шерниязов, Болотбек Эсентаевич",,,,,,,,,,,,,,,male,,1959-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4533403,,,,,"Эшимканов, Мелис Асаналиевич",,,,,,,,,,,,,,,,,,,,,,,,,"Эшимканов, Мелис Асаналиевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мелис Эшимканов,,,,,,,,,,"Эшимканов, Мелис Асаналиевич",,,,,,,,,,,,,,,male,,1962-12-09,,,,,,,,,,,,,,,,2011-09-15,,,,,0000 0000 4806 8611,nr96013174,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q466022,,,,,Игорь Чудинов,,Igor Czudinow,,Igor Tchoudinov,,,Igor Chudinov,,,,,Igor Chudinov,Igor Tšudinov,Igor Tschudinow,Igor Chudinov,イーゴリ・チュディノフ,Ιγκόρ Τσουντίνοφ,,,Igor Tjudinov,,Igor Chudinov,,,"Чудинов, Игорь Витальевич",Igor Chudinov,Igor Čudinov,Игор Чудинов,Igor Chudinov,,Igor Tšudinov,Чудінов Ігор Віталійович,,,,,,ایگور چودینوف,,,,,,,,,Игор Чудинов,,,,,,Igor Chudinov,Igor Chudinov,,,,,,,Category:Igor Chudinov,,,,Igor Tschudinow,Ιγκόρ Τσουντίνοφ,Igor Chudinov,,Igor Chudinov,Igor Tšudinov,,ایگور چودینوف,Igor Tšudinov,Igor Tchoudinov,,Igor Chudinov,Igor Chudinov,イーゴリ・チュディノフ,,,,Игорь Чудинов,,,,,,,Igor Czudinow,,,"Чудинов, Игорь Витальевич",Igor Chudinov,,Игор Чудинов,Igor Tjudinov,,,,İgor Çudinov,Чудінов Ігор Віталійович,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Igor_Chudinov.jpg,male,,1961-08-21,/m/03h0s7p,,,Igor Chudinov,,,,,,,,,,,Igor,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4700766,,,,,"Келдибеков, Ахматбек Келдибекович",,,,,,,Akhmatbek Keldibekov,,,,,,Ahmatbek Keldibekov,,,,,,,,,Akhmatbek Keldibekov,,,"Келдибеков, Ахматбек Келдибекович",Akhmatbek Keldibekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhmatbek Keldibekov,,,,,,,,,,,,,Akhmatbek Keldibekov,,,Ahmatbek Keldibekov,,,,,,,,,,,,Ахматбек Келдибеков,,,,,,,,,,"Келдибеков, Ахматбек Келдибекович",,,,,,,,,,,,,,,male,,1966-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Akhmatbek Keldibekov,,,,,,,,,,,,,,,,,,
Q47022903,,,,,,,,,Jyrgalbek Kalmamatov,,,Jyrgalbek Kalmamatov,,,,,,,,,,,,,,,Jyrgalbek Kalmamatov,,,,Jyrgalbek Kalmamatov,,,Jyrgalbek Kalmamatov,,Jyrgalbek Kalmamatov,,,,,,,,,,,,,,,,,,,,,,,Jyrgalbek Kalmamatov,,,,,,,,,,,,,Jyrgalbek Kalmamatov,,,,,,Jyrgalbek Kalmamatov,Jyrgalbek Kalmamatov,,,,,,,,,,,,,,,,,,,,,,,,,,Jırgalbek Kalmamatov,,,,,,,male,,1972-12-22,,,,,,,,,,,,,,,,2018-01-02,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Jyrgalbek Kalmamatov,,,,,,,,,,,,,,,,,,
Q484816,Kurmanbek Bakijew,库尔曼别克·巴基耶夫,庫爾曼別克·巴基耶夫,庫爾曼別克·巴基耶夫,"Бакиев, Курманбек Салиевич",Kurmanbek Bakiev,Kurmanbek Bakijew,Курманбек Бакіеў,Kourmanbek Bakiev,쿠르만베크 바키예프,Kurmanbek Bakiyev,Kurmanbek Bakíev,குர்மான்பெக் பாக்கியெவ்,Kurmanbek Bakiyev,Kurmanbek Bakiyev,Kurmanbeks Bakijevs,Kurmanbek Salievič Bakiev,Kurmanbek Bakijev,Kurmanbek Bakijew,Kurmanbek Bakiyev,クルマンベク・バキエフ,Κουρμανμπέκ Μπακίγιεφ,Kurmanbek Bakiyev,Kurmanbek Bakijev,Kurmanbek Bakijev,قربان بيك باقايف,Koermanbek Bakijev,Kurmanbek Bakiyev,Kurmanbek Bakijev,Курманбек Салиевич Бакиев,Kurmanbek Bakiyev,Kurmanbek Bakijev,Курманбек Бакијев,Kurmanbek Bakiyev,Kurmanbek Bakiev,Kurmanbek Bakijev,Курманбек Бакієв,Курманбэк Бакіеў,Kurmanbek Bakiyev,Kurmanbek Bakijev,Kurmanbek Bakijev,Курманбек Бакиев,قربان بیگ باقی‌یف,კურმანბეკ ბაკიევი,Qurmanbek Bakıyev,Kurmanbek Bakiyev,Kurmanbek Bakijev,قۇرمانبەك باكىييەۆ,Құрманбек Бәкиев,Qurmanbek Bäkïyev,Құрманбек Бәкиев,Курманбек Бакијев,库尔曼别克·巴基耶夫,Kurmanbek Bakijev,Kurmanbek Bakijev,Kurmambek Bakiyev,Қурмонбек Боқиев,Kurmanbek Bakiyev,Kurmanbek Bakiyev,قربان بيك باقايف,Qurmanbek Bakıyev,Курманбэк Бакіеў,Курманбек Бакіеў,Курманбек Бакиев,Kurmanbek Bakiev,Курманбек Бакиев,Kurmanbek Bakijev,Kurmanbek Bakiyev,Kurmanbek Bakijev,Kurmanbek Bakijew,Κουρμανμπέκ Μπακίγιεφ,Kurmanbek Bakiyev,Kurmanbek Bakijev,Kurmanbek Bakíev,Kurmanbek Bakijev,Kurmanbek Bakiev,قربان‌بیک باقی‌یف,Kurmanbek Bakijev,Kourmanbek Bakiev,Kurmanbek Bakijev,Kurmanbek Bakiyev,Kurmanbek Salievič Bakiev,クルマンベク・バキエフ,კურმანბეკ ბაკიევი,Құрманбек Сәлиұлы Бәкиев,쿠르만베크 바키예프,Курманбек Бакиев,Kurmanbek Bakijew,Kurmanbeks Bakijevs,Kurmanbek Bakiyev,Koermanbek Bakijev,Kurmanbek Bakijev,Kurmanbek Bakijev,Kurmanbek Bakijew,Kurmanbek Bakiyev,Kurmambek Bakiyev,"Бакиев, Курманбек Салиевич",Kurmanbek Bakiyev,Kurmanbek Bakijev,Курманбек Бакијев,Kurmanbek Bakijev,குர்மான்பெக் பாக்கியெவ்,Қурмонбек Боқиев,Kurmanbek Bakiyev,Kurmanbek Bakiyev,Бакієв Курманбек Салієвич,Qurmanbek Bakiyev,Kurmanbek Bakiyev,Kurmanbek Bakiyev,库尔曼别克·巴基耶夫,"https://upload.wikimedia.org/wikipedia/commons/4/46/President_of_Kyrgyzstan,_Kurmanbek_Bakiyev.jpg",male,31426200,1949-08-01,/m/05kbp3,,קורמנבק בקייב,Kurmanbek Bakíev,,,,,,,קורמאנבק באקייב,Kurmanbek Bakijev,,,,,,,,,0000 0000 4070 6906,n2006050012,,,,,,,,,バキーエフ,78947,3923831,politician,,,,,,biography/Kurmanbek-Bakiyev,kurmanbek-bakijev,537/000122171,,,,,Kurmanbek Bakíev,,,,,Kurmanbek Bakíev,,,,,,,,,,,1647467,,,,,,,
Q485136,,罗萨·奥坦巴耶娃,羅薩·奧坦巴耶娃,羅薩·奧坦巴耶娃,"Отунбаева, Роза Исаковна",Roza Otunbaieva,Roza Otunbajewa,Роза Атунбаева,Roza Otounbaïeva,로자 오툰바예바,Roza Otunbaeva,Rosa Otunbáeva,ரோசா ஒட்டுன்பாயெவா,Roza Otunbayeva,Roza Otunbayeva,,Roza Otunbayeva,Roza Otunbajeva,Rosa Otunbajewa,Roza Otunbayeva,ローザ・オトゥンバエヴァ,Ρόζα Οτουνμπάγιεβα,,Roza Otunbajeva,Roza Otunbajeva,روزا أوتونباييفا,Roza Otoenbajeva,Roza Otunbayeva,Roza Otunbajeva,Роза Исаковна Отунбаева,Roza Otunbayeva,,,Roza Otunbayeva,Roza Otunbaieva,Roza Otunbajeva,Роза Отунбаєва,,,,Roza Otunbajevová,Роза Отунбаева,رزا اوتونبایوا,როზა ოტუნბაევა,Roza Otunbayeva,Roza Otunbayeva,Roza Otunbajeva,روزا وتىنبايەۆا,Роза Отынбаева,Roza Otınbayeva,Роза Отынбаева,,罗萨·奥坦巴耶娃,Roza Otunbajeva,Roza Otunbajeva,,Роза Исаковна Отунбаева,Roza Otunbayeva,Roza Otunbayeva,روزا أوتونباييفا,Roza Otunbayeva,,Роза Атунбаева,Роза Отунбаева,Roza Otunbàieva,Category:Roza Otunbayeva,Roza Otunbajevová,,Roza Otunbajeva,Rosa Otunbajewa,Ρόζα Οτουνμπάγιεβα,Roza Otunbayeva,Roza Otunbajeva,Roza Otunbáyeva,Roza Otunbajeva,Roza Otunbaieva,رزا اوتونبایوا,Roza Otunbajeva,Roza Otounbaïeva,Roza Otunbajeva,Roza Otunbayeva,Roza Otunbayeva,ローザ・オトゥンバエヴァ,როზა ოტუნბაევა,Роза Отынбаева,로자 오툰바예바,Роза Отунбаева,,,Roza Otunbayeva,Roza Otoenbajeva,,Roza Otunbajeva,Roza Otunbajewa,Roza Otunbayeva,,"Отунбаева, Роза Исаковна",Roza Otunbayeva,Roza Otunbajeva,,Roza Otunbajeva,ரோசா ஒட்டுன்பாயெவா,Роза Отунбоева,Roza Otunbayeva,Roza Otunbayeva,Роза Отунбаєва,Roza Otunbayeva,,Roza Otunbayeva,萝扎·奥通巴耶娃,https://upload.wikimedia.org/wikipedia/commons/d/d4/Roza_Otunbayeva_-_World_Economic_Forum_on_Europe_2011_(cropped).jpg,female,3216153363088937520008,1950-08-23,/m/05j631,Roza Otunbayeva,רוזה אוטונבייבה,Roza Otunbajeva,Roza Otunbayeva,Roza Isakovna Otunbaeva,Отунбаева Роза Исаковна,Roza Otunbayeva,Отунбаева Роза Исаковна,Roza Otunbayeva,רוזה אוטונבייבה,Roza Otunbajeva,Roza Otunbayeva,Roza Otunbayeva,Roza,,,Rosa Otunbaeva,,Rosa Otunbaeva,,,ਰੋਜ਼ਾ ਉਤਨਬਾਈਵਾ,,ਰੋਜ਼ਾ ਉਤਨਬਾਈਵਾ,,,,,,,222088,3990867,politician,رزا اوتونبایوا,,,,Categoría:Rosa Otunbáeva,biography/Roza-Otunbayeva,,,,,,1163675075,Raspia Otunbáyeva,,,,,Raspia Otunbáyeva,,,,,,,,,,,,,,,,,,
Q4945386,,鲍里斯·西拉耶夫,鮑里斯·西拉耶夫,,,,Boris Silajew,,Boris Silayev,,,Boris Silayev,,,,,,,,,ボリス・シラーエフ,Μπόρις Σιλάγιεφ,,,,,Boris Silayev,,,Борис Иванович Силаев,Boris Silayev,,,,,,Силаєв Борис Іванович,,,,,,,,,,,,,,,,,,,,,,Boris Silayev,,,,,,,,,,,,Μπόρις Σιλάγιεφ,Boris Silayev,,,,,,,,,,,ボリス・シラーエフ,,,,,,,,,,,Boris Silajew,,,"Силаев, Борис Иванович",,,,,,,,,Силаєв Борис Іванович,,,,,,male,,1946-02-28,,,,Boris Silayev,,,,,,,,Wikipédia:Feljavításra váró cikkjelöltek/Borisz Szilajev,,,Boris,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,鲍里斯·西拉耶夫,,,Boris Silayev,Boris Silayev,,,Boris Silayev,,,,,,,,,,,,,,,,,,
Q5389657,,,,,,,,,,,,Erkin Alymbekov,,,,,,,,,,,,,,,Erkin Alymbekov,,,,Erkin Alymbekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erkin Alymbekov,,,,,,,,,,,,,Erkin Alymbekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Erkin Alymbekov,,,,,,,,,,,,,,,,,,
Q56308097,,,,,Азиз Суракматов,,,,,,Aziz Surakmatov,,,,,,,,,,,,,,,,,,,"Суракматов, Азиз Эмильбекович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Азиз Суракматов,,,,,,,,,,"Суракматов, Азиз Эмильбекович",,,,,,,,,,Aziz Surakmatov,,,,,male,,1971-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58312,,,,,,,,,Ruslan Kazakbaev,,,Ruslan Kazakbaev,,,,,,,Ruslan Kasakbajew,,ルスラン・カザクバエフ,,,,,,Ruslan Kasakbajew,,,"Казакбаев, Руслан Айтбаевич",Ruslan Kasakbajew,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruslan Kasakbajew,,,,,,,,,,,Ruslan Kasakbajew,,,,,,,,,,,,,ルスラン・カザクバエフ,,,,,,,,,,,,,,"Казакбаев, Руслан Айтбаевич",,,,,,,,,,,,,,,male,,1967-05-18,,,,,,,,,,,,,,,Ruslan,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60829622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Райымкулов Бактыбек Кемелбекович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Райымкулов Бактыбек Кемелбекович,,,,,,,,,,,,,,,male,,1977-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60838172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Турускулов Жыргалбек Куручбекович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Турускулов Жыргалбек Куручбекович,,,,,,,,,,,,,,,male,,1975-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62269257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Строкова, Евгения Григорьевна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Строкова, Евгения Григорьевна",,,,,,,,,,,,,,,female,,1965-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62712544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Эстебесов, Молдокмат Камалович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Эстебесов, Молдокмат Камалович",,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62713551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Юсупов, Байыш Юсупович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Юсупов, Байыш Юсупович",,,,,,,,,,,,,,,male,,1957-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6319340,,,,,Жолдошева Жылдызкан Айтибаевна,,,,Jyldyz Joldosheva,,,Jyldyz Joldosheva,,,,,,,Jyldyz Joldosheva,,,,,,,,Jyldyz Joldosheva,,,,Jyldyz Joldosheva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jyldyz Joldosheva,,,,,,,,,,,Jyldyz Joldosheva,,Jyldyz Joldosheva,,,,,,,,,,,,,,,Жылдызкан Жолдошева,,,,,,,,,,,,,,,,,,,,,,,,,female,,1960-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Jyldyz Joldosheva,Jyldyz Joldosheva,,,Jyldyz Joldosheva,,,,,,,,Jyldyz Joldosheva,Jyldyz Joldosheva,,,,,,,,,
Q7296825,,,,,,,,,,,,Ravshanbek Sabirov,,,,,,,,,,,,,,,,,,,Ravshanbek Sabirov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ravshanbek Sabirov,,,,,,,,,,,,,Ravshanbek Sabirov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Ravshanbek Sabirov,,,,,,,,,,,,,,,,,,
Q7362177,,,,,,,,,,,,Roman Shin,,,,,Roman Shin,,Roman Shin,,,,,,,,,,,Роман Александрович Шин,Roman Shin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Shin,,,,,,,,,,,,,Roman Shin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Shin,,,,,Shin,,,,,,,,,,,,,
