id,name,name__ar,wikipedia__ar,gender,given_name,birth_date,original_wikiname,name__en,occupation,name__nl,wikipedia__en,death_date,name__ru,family_name,name__de,name__fr,wikipedia__fr,image,name__es,twitter,identifier__google_knowledge,identifier__ISNI,name__fa,wikipedia__fa,wikipedia__ru,identifier__freebase,name__ja,name__hu,name__bn,name__ast,identifier__LCAuth,name__arz
Q16297825,Nayif Mohamed Mansour Al-himyari,نائف محمد منصور الحميري,نائف محمد منصور الحميري,male,,1938,,Nayif Mohamed Mansour Al-himyari,politician,,,,,,,,,,Nayif Mohamed Mansour Al-himyari,,,,,,,,,,,Nayif Mohamed Mansour Al-himyari,,
Q16297830,,نجيب سعيد غانم الدبعي,نجيب سعيد غانم الدبعي,male,,1956,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297833,,نعمان علي محمد صالح البرح,نعمان علي محمد صالح البرح,male,Noman,1953,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q16297850,Yaser Al-awadi,ياسر أحمد سالم العواضي,ياسر أحمد سالم العواضي,male,Yasser,1975,,Yaser Al-awadi,politician,,,2017-12-04,,,,,,,Yaser Al-awadi,yaser_alawadi,,,,,,,,,,Yaser Al-awadi,,
Q20393648,,حسن عمر محمد إبراهيم سويد,حسن عمر محمد إبراهيم سويد,male,,1969,,,politician,,,,,,,,,,,,,,,,,,,,,,,
Q20397457,Ahmed Ismail abou hooria,أحمد إسماعيل أبو حورية,أحمد إسماعيل أبو حورية,male,Ahmad,1940,,Ahmed Ismail abou hooria,politician,,,,,,,,,,Ahmed Ismail abou hooria,,,,,,,,,,,Ahmed Ismail abou hooria,,
Q20397480,Ahmed Mohammed Al-Kahlani,أحمد محمد الكحلاني,أحمد محمد الكحلاني,male,Ahmad,1958,,Ahmed Mohammed Al-Kahlani,politician,,,,,,,,,,Ahmed Mohammed Al-Kahlani,,,,,,,,,,,Ahmed Mohammed Al-Kahlani,,
Q20422195,Mohamed Hassan Abboud Al-amoudi,محمد حسن عبود العمودي,محمد حسن عبود العمودي,male,Mohammed,1944-08-06,,Mohamed Hassan Abboud Al-amoudi,politician,,,,,,,,,,Mohamed Hassan Abboud Al-amoudi,,,,,,,,,,,Mohamed Hassan Abboud Al-amoudi,,
Q20423481,Nasser Mohamed Thabet sofiane,ناصر محمد ثابت سفيان,ناصر محمد ثابت سفيان,male,Nasser,1967,,Nasser Mohamed Thabet sofiane,politician,,,,,,,,,,Nasser Mohamed Thabet sofiane,,,,,,,,,,,Nasser Mohamed Thabet sofiane,,
Q4539761,Yahia Badreddin al-Houthi,يحيى بدر الدين الحوثي,يحيى بدر الدين الحوثي,male,Yahya,1965,,Yahia Badreddin al-Houthi,politician,Yahia Badreddin al-Houthi,Yahia Badreddin al-Houthi,,Яхья Аль-Хути,,,Yahia Badreddin al-Houthi,Yahia Badreddine al-Houthi,,Yahia Badreddin al-Houthi,,,,یحیی بدرالدین حوثی,سیدیحیی بدرالدین حوثی,Яхья аль-Хуси,/m/02r2spt,,,,Yahia Badreddin al-Houthi,,
Q4695925,Ahmed Mohammed,أحمد محمد الخاوي,أحمد محمد الخاوي,male,Ahmed,1960,,Ahmed Mohammed,politician,Ahmed Mohammed,Ahmed Mohammed (Yemeni politician),,,Mohammed,Ahmed Mohammed,Ahmed Mohammed,,,Ahmed Mohammed,,,,,,,,,,,Ahmed Mohammed,,
Q5644670,Hamid al-Ahmar,حميد الأحمر,حميد الأحمر,male,Hamid,1967-12-27,,Hamid al-Ahmar,politician,Hamid al-Ahmar,Hamid al-Ahmar,,Хамид аль-Ахмар,al-Ahmar,,Hamid al-Ahmar,,,Hamid al-Ahmar,,,,,,,,,Hamid al-Ahmar,হামিদ আল-আহমার,Hamid al-Ahmar,,
